table_name,field_name,field_type,description,mapped_from_table,mapped_from_field,mapping_type,release_date,relationship_category,cardinality
generatedLivedocComponents,insertStatus,nvarchar(255),"The status of the component insert (Not Published, Not Found, Success)",,,,staging,,
generatedLivedocComponents,insertMethod,nvarchar(255),"The way this component was included in the presentation such as Shared, Reference, Dynamic, or External",,,,staging,,
generatedLivedocComponents,format,nvarchar(255),The format of content that was inserted via upload (will be null for all other components),,,,staging,,
generatedLivedocOutputs,id,uniqueidentifier,The primary id for items in this table,,,,staging,,
generatedLivedocOutputs,generatedLivedocId,uniqueidentifier,The id of the generated livedoc that this data belongs to,generatedLivedocs,id,,staging,,
generatedLivedocOutputs,format,nvarchar(255),"The format of the generated livedoc (pdf, pptx, docx, excel)",,,,staging,,
generatedLivedocOutputs,name,nvarchar(max),The display name for the generated livedoc (used when showing the generated livedoc in our product UI),,,,staging,,
generatedLivedocOutputs,filename,nvarchar(max),The file name of the generated livedoc that user can deliver,,,,staging,,
generatedLivedocOutputs,size,integer,The file size in bytes for the generated livedoc,,,,staging,,
generatedLivedocOutputs,imageDPI,integer,The image DPI settings of the generated livedoc,,,,staging,,
generatedLivedocOutputs,clearNotes,boolean,Whether the document was generated with notes or notes cleared,,,,staging,,
generatedLivedocOutputs,outputLayout,nvarchar(max),The PDF output layout of Full Page Slides or Note Pages,,,,staging,,
generatedLivedocOutputs,compatibility,nvarchar(max),The Acrobat version the PDF is designed for,,,,staging,,
generatedLivedocOutputs,hasOpenPassword,boolean,Boolean indicating if the PDF requires a password to open,,,,staging,,
generatedLivedocOutputs,hasOwnerPassword,boolean,Boolean indicating if the PDF has a password to allow modifications,,,,staging,,
generatedLivedocOutputs,hasOwnerOptions,boolean,Boolean indicating if the PDF is set to limit the options the owner can change on the unlocked PDF,,,,staging,,
groupMembers,id,uniqueidentifier,The primary id for items in this table representing a user's assignment to a particular group,,,,staging,,
groupMembers,groupId,uniqueidentifier,The id of the group that this member belongs to,groups,id,,staging,,
groupMembers,groupName,nvarchar(255),The name of the group,,,,staging,,
groupMembers,userId,uniqueidentifier,The id of the user,users,id,,staging,,
groups,id,uniqueidentifier,The primary id for items in this table,,,,staging,,
groups,name,nvarchar(255),The name of the group,,,,staging,,
libraryContents,id,uniqueidentifier,The unique indentifier for a given document in the ControlCenter/ContentManager library,contents,id,,prod,primary,1to1
libraryContents,name,nvarchar(255),The name of the document in the ControlCenter/ContentManager library,,,,prod,,
libraryContents,version,nvarchar(255),The version number of the latest version of the document such as 5.3,,,,prod,,
libraryContents,createdAt,datetime,The datetime that this document was created,,,,prod,,
libraryContents,modifiedAt,datetime,The datetime that this document had any form of modification.  This is typically only used by machines and is not relevant for a person's perception of the last change to the document.,,,,prod,,
libraryContents,latestLibraryContentVersionId,uniqueidentifier,The libraryContentVersionId for the latest version of this document,libraryContentVersions,id,,prod,informational,1to1
libraryContents,latestLibraryContentVersionSize,integer,The size in bytes for the latest version of this document,,,,prod,,
libraryContents,latestLibraryContentVersionCreatedAt,datetime,"The creation date for the latest version of this document, this is what most people think of when they ask 'when was this last updated'",,,,prod,,
libraryContents,libraryUrl,nvarchar(max),The URL to this document in the library,,,,prod,,
libraryContents,newsCenterUrl,nvarchar(max),The URL to this document in web NewsCenter,,,,prod,,
libraryContents,docCenterUrl,nvarchar(max),The URL to this document in web DocCenter,,,,prod,,
libraryContents,format,nvarchar(255),The format of this document,,,,prod,,
libraryContents,teamsiteId,uniqueidentifier,The id of the teamsite this document exists in,teamsites,id,,prod,primary,Nto1
libraryContents,teamsiteName,nvarchar(255),The name of the teamsite this document exists in,,,,roadmap,,
libraryContents,isDeleted,boolean,Boolean indicating if this content is deleted,,,,prod,,
libraryContents,ownerId,uniqueidentifier,The id of the owner of this document,users,id,,prod,primary,Nto1
libraryContents,ownerUsername,nvarchar(255),The username of the owner of this document,,,,roadmap,,
libraryContents,isPublished,boolean,Boolean indicating if any version of this document is published,,,,prod,,
libraryContents,assignedToProfiles,json,A JSON object representing the list of profiles this document is assigned to,,,,prod,,
libraryContents,publishedVersionExpiresAt,datetime,The expiration date of the latest published version,,,,prod,,
libraryContents,properties,json,This is an object that contains all of the content properties for this document,,,,prod,,
libraryContents,thumbnailImageId,uniqueidentifier,An id to the lower resolution thumbnail image representing the latest version of the library content,,,,tbd,,
libraryContents,previewImageId,uniqueidentifier,An id to the higher resolution preview image representing the latest version of the library content,,,,tbd,,
libraryContentVersions,id,uniqueidentifier,The primary id for items in this table,,,,opdb,,
libraryContentVersions,name,nvarchar(255),The name of the library content,,,,opdb,,
libraryContentVersions,libraryContentId,uniqueidentifier,The id of the library content this is a version of,libraryContents,id,,opdb,primary,Nto1
libraryContentVersions,createdBy,uniqueidentifier,The user id of the user who created this version,users,id,,opdb,primary,Nto1
libraryContentVersions,size,integer,The size in bytes of this version of the content,,,,opdb,,
libraryContentVersions,createdAt,datetime,The datetime that this version was created,,,,opdb,,
libraryContentVersions,modifiedAt,datetime,The datetime that this version was modified,,,,opdb,,
libraryContentVersions,version,nvarchar(255),The version number of this version such as 4.0,,,,opdb,,
libraryContentVersions,assignedToProfiles,json,A JSON object representing the list of profiles this document is assigned to,,,,tbd,,
libraryContentVersions,isPublished,boolean,A boolean indicating if this version is the published version,,,,opdb,,
libraryContentVersions,isExpired,boolean,A boolean indicating if this version is expired,,,,opdb,,
libraryContentVersions,expiresAt,datetime,The datetime that this version expires,,,,opdb,,
libraryContentVersions,thumbnailImageId,uniqueidentifier,An id to the lower resolution thumbnail image for this library content version,,,,tbd,,
libraryContentVersions,previewImageId,uniqueidentifier,An id to the higher resolution preview image for this library content version,,,,tbd,,
livedocGenerationHistory,id,uniqueidentifier,The primary id for items in this table,,,,tbd,,
livedocGenerationHistory,generatedLivedocId,uniqueidentifier,The id of the generated livedoc that this event generated,generatedLivedocs,id,,tbd,primary,1to1
livedocGenerationHistory,occurredAt,datetime,The datetime that this livedoc was generated,,,,tbd,,
livedocGenerationHistory,createdBy,uniqueidentifier,The user id of the user who generated this livedoc,users,id,,tbd,primary,Nto1
livedocGenerationHistory,libraryContentId,uniqueidentifier,The library content id that this livedoc is based on,libraryContents,id,,tbd,informational,Nto1
livedocGenerationHistory,libraryContentVersionId,uniqueidentifier,The library content version id that this livedoc is based on,libraryContentVersions,id,,tbd,informational,Nto1
livedocGenerationHistory,workspaceContentId,uniqueidentifier,The workspace content id that was the starting point for this generated livedoc,workspaceContents,id,,tbd,informational,Nto1
livedocGenerationHistory,workspaceContentVersionId,uniqueidentifier,The workspace content version id that was the starting point for this generated livedoc,workspaceContentVersions,id,,tbd,informational,Nto1
livedocGenerationHistory,contentProfileId,uniqueidentifier,The content profile that this livedoc was generated from.  This is not included for livedocs generated in workspace.,contentProfiles,id,,tbd,primary,Nto1
livedocGenerationHistory,productArea,,The product area where this livedoc was generated from,,,,tbd,,
livedocGenerationHistory,application,,The application that this livedoc was generated from,,,,tbd,,
livesendLinkContents,id,uniqueidentifier,The primary id for items in this table,,,,prod,,
livesendLinkContents,name,,The name of the document in the livesend link,,,,prod,,
livesendLinkContents,livesendLinkId,uniqueidentifier,The id of the livesend link that this content is included in,livesendLinks,id,,prod,primary,Nto1
livesendLinkContents,totalPages,integer,The total number of pages in this document,,,,prod,,
livesendLinkContents,url,,The url to a specific document in a livesend link,,,,notpossible,,
livesendLinkContents,createdAt,datetime,The datetime that the content was added to the livesend link,,,,prod,,
livesendLinkContents,createdBy,uniqueidentifier,The user id of the user who created the livesend link,,,,prod,,
livesendLinkContents,modifiedAt,datetime,"The datetime that this content was modified, this is used purely for ETL purposes and is typically the same as the createdAt date",,,,prod,,
livesendLinkMembers,livesendLinkId,uniqueidentifier,The id of the livesend link that this content is included in,livesendLinks,id,,prod,primary,Nto1
livesendLinkMembers,externalUserId,uniqueidentifier,The id of the external user in the externalUsers table,externalUsers,id,,roadmap,primary,Nto1
livesendLinkMembers,internalUserId,uniqueidentifier,"The id of the user if a user with this email address was found in the users table.  In the case that more than one user was found, one of them will be chosen at random.",users,id,,tbd,primary,Nto1
livesendLinkMembers,createdAt,datetime,The datetime that the link member was added to the livesend link,,,,prod,,
livesendLinkMembers,modifiedAt,datetime,"The datetime that this link member was modified, this is used purely for ETL purposes and is typically the same as the createdAt date",,,,prod,,
livesendLinkMembers,email,,The email address of the link member,,,,prod,,
livesendLinks,id,uniqueidentifier,The primary id for items in this table,,,,prod,,
livesendLinks,url,,The url of the livesend link,,,,roadmap,,
livesendLinks,isSeparateSend,boolean,"A boolean indicating if the link was generated as the result of a ""blast email"" which creates many links or if the link is a shared link across many recipients",,,,prod,,
livesendLinks,trackingCode,,The tracking code entered by the user when generating the livesend link,,,,roadmap,,
livesendLinks,createdAt,datetime,The datetime that the livesend link was created,,,,prod,,
livesendLinks,createdBy,uniqueidentifier,The user id of the user who created the livesend link,users,id,,prod,primary,Nto1
livesendLinks,emailId,uniqueidentifier,The id of the email that this link was sent as a part of,emails,id,,tbd,primary,Nto1
livesendLinks,modifiedAt,datetime,The datetime that the livesend link was modified,,,,roadmap,,
livesendLinks,modifiedBy,uniqueidentifier,The user id of the user who modified the livesend link,users,id,,roadmap,primary,Nto1
livesendLinks,deletedAt,datetime,The datetime that the livesend link was deleted,,,,roadmap,,
livesendLinks,deletedBy,uniqueidentifier,The user id of the user who deleted the livesend link,users,id,,roadmap,primary,Nto1
livesendLinks,allowDownload,boolean,LiveSend Setting - is content downloadable,,,,roadmap,,
livesendLinks,expireAfterView,boolean,LiveSend Setting - allow single view of livesend,,,,roadmap,,
livesendLinks,expiresAt,datetime,LiveSend Setting - when the LiveSend link expires,,,,roadmap,,
livesendLinks,password,nvarchar(50),LiveSend Setting - password set for link,,,,roadmap,,
livesendLinks,notificationSetting,integer,LiveSend Setting - notification setting for link,,,,roadmap,,
livesendLinks,clientApp,nvarchar(50),Application used to created link,,,,tbd,,
livesendLinks,clientId,uniqueidentifier,Unique Id for application used to create link,,,,tbd,,
livesendLinks,systemCreatedAt,datetime,datetime row was created,,,,roadmap,,
livesendLinks,systemModifiedAt,datetime,datetime row was modified,,,,roadmap,,
livesendLinks,legacyInvitationId,uniqueidentifier,The (legacy) invitationId for the link,,,,internal,,
livesendLinkDeliveries,id,uniqueidentifier,The primary id for items in this table,,,,tbd,,
livesendLinkDeliveries,livesendLinkId,uniqueidentifier,The id of the livesend link that this delivery goes to,livesendLinks,id,,tbd,primary,Nto1
livesendLinkDeliveries,deliveryId,uniqueidentifier,The id of the delivery that this link was sent to,deliveries,id,,tbd,primary,Nto1
livesendLinkDeliveries,systemCreatedAt,datetime,datetime row was created,,,,tbd,,
livesendLinkDeliveries,systemModifiedAt,datetime,datetime row was modified,,,,tbd,,
livesendPageViews,id,uniqueidentifier,The primary id for items in this table,,,,roadmap,,
livesendPageViews,livesendLinkContentId,uniqueidentifier,The id of the livesend link content that the page view occurred on,livesendLinkContents,id,,prod,primary,Nto1
livesendPageViews,contentVersionId,uniqueidentifier,The link that this maps the page view to a specific version of the content (useful for when we can/will update content),content,id,,roadmap,primary,Nto1
livesendPageViews,occurredAt,datetime,The datetime that the page view occurred,,,,prod,,
livesendPageViews,sessionStartedAt,datetime,The datetime that the viewing session started in the recipient's browser,,,,prod,,
livesendPageViews,sessionEndedAt,datetime,The datetime that the viewing session ended in the recipient's browser,,,,prod,,
livesendPageViews,duration,integer,The number of milliseconds spent viewing the page until the next event occurs.,,,,prod,,
livesendPageViews,livesendViewingSessionId,uniqueidentifier,The id of the livesend viewing session that this page view is a part of,livesendViewingSession,id,,prod,primary,Nto1
livesendPageViews,legacyLivesendContentId,uniqueidentifier,"[INTERNAL] This is the livesendContentId from the operational database, for reference only.",,,,internal,,
livesendPageViews,pageIndex,integer,The 1-N based page number that was viewed,,,,prod,,
livesendPageViews,thumbnailImageId,uniqueidentifier,The id for the thumbnail,,,,tbd,,
livesendViewingSession,id,uniqueidentifier,The primary id for items in this table,,,,tbd,,
livesendViewingSession,livesendLinkId,uniqueidentifier,The id of the livesend link that this session is acting on,livesendLinks,id,,tbd,primary,Nto1
livesendViewingSession,viewDetails,json,[TBD] We may want some form of summary of the session?  Maybe as multiple fields not a JSON object.,,,,tbd,,
livesendViewingSession,sessionStartedAt,datetime,The datetime that the viewing session started in the recipient's browser,,,,tbd,,
livesendViewingSession,sessionEndedAt,datetime,The datetime that the viewing session ended in the recipient's browser,,,,tbd,,
searchClicks,id,uniqueidentifier,The primary id for events in this table,referrerEvents,id,,roadmap,primary,1to1
searchClicks,type,nvarchar(255),"Whether the click leads to a view, preview, or delivery",,,,tbd,,
searchClicks,searchHistoryId,uniqueidentifier,The id of the search history that this click happened in,searchHistory,id,,roadmap,primary,Nto1
searchClicks,clickNumber,integer,The number of the click in the searchHistoryId in cases where the user clicks on many documents within a single set of search results,,,,tbd,,
searchClicks,viewMode,nvarchar(255),"The view mode (list, card, tile, or typeahead view) the user was in when they clicked on a document",,,,roadmap,,
searchClicks,currentPage,integer,The current page of the search when the click happened (pages numbered from 1),,,,roadmap,,
searchClicks,resultRank,integer,The index of the item in the result list relative to the first item on page 1 (results numbered from 1).  ,,,,roadmap,,
searchClicks,activeScope,nvarchar(255),"Which scope (DocCenter, Workspace, ContentManager, or All) the user has active when they click on a document",,,,roadmap,,
searchClicks,contentId,uniqueidentifier,The content id of the content that the click occurred on,,,,internal,,
searchClicks,contentVersionId,uniqueidentifier,The content version id of the content that the click occurred on,,,,internal,,
searchClicks,instanceName,nvarchar(255),The name of the document or folder that was clicked,,,,roadmap,,
searchClicks,occurredAt,datetime,The datetime that the click occurred at,,,,roadmap,,
searchClicks,isFolder,boolean,A boolean indicating if the click was on a folder,,,,roadmap,,
searchClicks,userId,uniqueidentifier,The id of the user who did the click,,,,roadmap,,
searchClicks,application,nvarchar(255),The application that the click took place in,,,,roadmap,,
searchClicks,productArea,nvarchar(255),"The product area that the click occurred in.  i.e. if you search from homepage, the productArea should be homepage.  Only when you are on the ""search"" page should the product area be ""search""",,,,tbd,,
landingPageClicks,id,uniqueidentifier,,referrerEvents,id,,tbd,,
homepageClicks,id,uniqueidentifier,,referrerEvents,id,,tbd,,
articleClicks,id,uniqueidentifier,,referrerEvents,id,,tbd,,
folderNavigateClicks,id,uniqueidentifier,,referrerEvents,id,,tbd,,
pushNotificationClicks,id,uniqueidentifier,,referrerEvents,id,,tbd,,
universalLinkClicks,id,uniqueidentifier,,referrerEvents,id,,tbd,,
searchFacets,searchHistoryId,uniqueidentifier,The id of the search history that this facet acted on,searchHistory,id,,roadmap,primary,Nto1
searchFacets,contentPropertyId,uniqueidentifier,The id of the content property that this facet is based on,contentProperties,id,,roadmap,informational,Nto1
searchFacets,contentPropertyName,,The name of the content property that this facet is based on,,,,roadmap,,
searchFacets,contentPropertyValue,,The value of the content property that this facet is applying,,,,roadmap,,
searchHistory,id,uniqueidentifier,"The primary id for events in this table.  Represents a change in search term or facets, but does not change across pages.",,,,prod,,
searchHistory,searchTermRaw,,The search term as entered by the user,,,,prod,,
searchHistory,searchTermNormalized,,The search term converted to lowercase and all special characters replaced by their ASCII equivalent,,,,prod,,
searchHistory,searchCycleId,uniqueidentifier,An id for the combined cycle of steps for search and filter,,,,prod,,
searchHistory,searchType,,Keyword Search or Facet Search,,,,prod,,
searchHistory,occurredAt,datetime,The timestamp that the search occurred,,,,prod,,
searchHistory,userId,uniqueidentifier,The id of the user who performed the search,users,id,,prod,primary,Nto1
searchHistory,resultCount,integer,The total number of results returned by the search,,,,prod,,
searchHistory,resultCountDocCenter,integer,The total number of DocCenter results returned by the search,,,,prod,,
searchHistory,resultCountNewsCenter,integer,The total number of NewsCenter results returned by the search,,,,prod,,
searchHistory,resultCountContentManager,integer,The total number of ContentManager results returned by the search,,,,prod,,
searchHistory,resultCountControlCenter,integer,The total number of ControlCenter results returned by the search,,,,prod,,
searchHistory,resultCountWorkspace,integer,The total number of Workspace results returned by the search,,,,prod,,
searchHistory,selectedFacets,,A JSON object representing key value pairs of properties and selected values,,,,prod,,
searchHistory,sortBy,,"What the search is sorted by, Relevance or Last Modified",,,,prod,,
searchHistory,application,,The application where the search was performed,,,,tbd,,
searchHistory,duration,integer,[INTERNAL ONLY] Duration in milliseconds it took for the search to return results,,,,internal,,
searchHistory,scope,,"A JSON object represting the product area and folder scope of the search such as {""productArea"" : [""DocCenter""], ""folder"" : {""path"" : ""/profile/folder name/"", ""id"" : ""folder Id""}}",,,,tbd,,
searchHistory,searchEngine,,"The search engine used ie. Azure, elastic",,,,internal,,
searchHistory,searchEngineVersion,,Search engine version used ie. V2_2018,,,,internal,,
searchWords,searchHistoryId,uniqueidentifier,The id of the search history these words are from,searchHistory,id,,staging,primary,Nto1
searchWords,word,,A single word from the search term,,,,staging,,
searchWords,searchCycleId,uniqueidentifier,An id for the combined cycle of steps for search and filter,,,,staging,,
searchWords,occurredAt,datetime,The timestamp that the search occurred,,,,staging,,
teamsites,id,uniqueidentifier,The primary id for items in this table,,,,staging,,
teamsites,name,,The name of the teamsite,,,,staging,,
userLoginHistory,id,uniqueidentifier,The primary id for items in this table,,,,opdb,,
userLoginHistory,occurredAt,datetime,The datetime that this login occurred,,,,opdb,,
userLoginHistory,userId,uniqueidentifier,The id of the user who logged in,users,id,,opdb,primary,Nto1
userLoginHistory,application,,The application the user was using when they logged in,,,,opdb-dirty,,
userProperties,id,uniqueidentifier,The primary id for items in this table,,,,staging,,
userProperties,name,,The name of the user property,,,,staging,,
userProperties,type,,"The type of the user property (string, integer, date, boolean, float)",,,,staging,,
userPropertyAssignments,userId,uniqueidentifier,The id of the user that this property applies to,users,id,,staging,primary,Nto1
userPropertyAssignments,userPropertyId,uniqueidentifier,The id of the user property,userProperties,id,,staging,primary,Nto1
userPropertyAssignments,userPropertyName,,The name of the user property,,,,staging,,
userPropertyAssignments,userPropertyType,,"The type of the user property (string, integer, date, boolean, float)",,,,staging,,
userPropertyAssignments,userPropertyValue,,One of the values assigned to the given user for this user property,,,,staging,,
userPropertyValues,value,,The one of values for a given user property,,,,opdb,,
userPropertyValues,userPropertyId,uniqueidentifier,The id of the user property that this value belongs to,userProperties,id,,opdb,primary,Nto1
userPropertyValues,userPropertyName,,The name of the user property that this value belongs to,,,,opdb,,
userPropertyValues,userPropertyType,,The type of the user property that this value belongs to,,,,opdb,,
users,id,uniqueidentifier,The primary id for items in this table,,,,prod,,
users,ssoUserId,,The single sign-on id for the user,,,,opdb,,
users,username,,The user's username,,,,prod,,
users,email,,The user's email address,,,,prod,,
users,emailDomain,,The user's email address domain such as seismic.com,,,,prod,,
users,fullName,,The user's full name,,,,prod,,
users,firstName,,The user's first name or given name,,,,prod,,
users,lastName,,The user's last name or surname,,,,prod,,
users,createdAt,datetime,The timestamp when the user record was created,,,,prod,,
users,modifiedAt,datetime,The timestamp when the user record was last modified,,,,prod,,
users,deletedAt,datetime,The timestamp when the user record was marked deleted,,,,prod,,
users,organization,,The user's organization,,,,prod,,
users,title,,The user's title,,,,prod,,
